"Date","Sector","Source","Opportunity","Requirements","Pay","Terms","Status"
"2026-03-22","AI/ICT/Socio-Economic","Indeed","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","LinkedIn","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","EAC Jobs","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","SADC Careers","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","UNGM","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","AfDB","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","WorldBank","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","AI/ICT/Socio-Economic","ReliefWeb","Digital Transformation Consultant (SADC Secretariat)","MSc CS, 10yrs Exp, AI Implementation","USD 8,500 - 12,000 / Month","24 Month Contract","Active"
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
"2026-03-22","Agriculture/Livestock",,,,,,
